refno	poetry	anvaya
vrd_ramayana_anvaya_1_1_1	तपस्स्वाध्यायनिरतं तपस्वी वाग्विदां वरम् नारदं परिपप्रच्छ वाल्मीकिर्मुनिपुङ्गवम्	तपस्वी वाल्मीकिः तपः स्वाध्यायनिरतम् वाग्विदां वरम् मुनिपुङ्गवम् नारदम् परिपप्रच्छ
vrd_ramayana_anvaya_1_1_2	कोन्वस्मिन्साम्प्रतं लोके गुणवान्कश्च वीर्यवान् धर्मज्ञश्च कृतज्ञश्च सत्यवाक्यो दृढव्रतः	अस्मिन् लोके साम्प्रतम् गुणवान् कः नु वीर्यवांश्च धर्मज्ञः च कृतज्ञः च सत्यवाक्यः दृढव्रतः कः
vrd_ramayana_anvaya_1_1_3	चारित्रेण च को युक्तस्सर्वभूतेषु को हितः विद्वान्कः कस्समर्थश्च कश्चैकप्रियदर्शनः	कः चारित्रेण युक्तः कः सर्वभूतेषु हितः कः विद्वान् कः समर्थः च कः एकप्रियदर्शनः च
vrd_ramayana_anvaya_1_1_4	आत्मवान्को जितक्रोधो द्युतिमान्कोऽनसूयकः कस्य बिभ्यति देवाश्च जातरोषस्य संयुगे	आत्मवान् कः जितक्रोधः द्युतिमान् अनसूयकः कः जातरोषस्य कस्य संयुगे देवाः च बिभ्यति
vrd_ramayana_anvaya_1_1_5	एतदिच्छाम्यहं श्रोतुं परं कौतूहलं हि मे महर्षे त्वं समर्थोऽसि ज्ञातुमेवंविधं नरम्	एतत् अहम् श्रोतुम् इच्छामि मे कौतूहलम् परं हि महर्षे त्वम् एवंविधम् नरम् ज्ञातुम् समर्थः असि
vrd_ramayana_anvaya_1_1_6	श्रुत्वा चैतत्ित्रलोकज्ञो वाल्मीकेर्नारदो वचः श्रूयतामिति चामन्त्त्र्य प्रहृष्टो वाक्यमब्रवीत्	त्रिलोकज्ञः नारदः वाल्मीकेः एतत् वचः श्रुत्वा च श्रूयताम् इति चामन्त्त्र्य च प्रहृष्टः वाक्यम् अब्रवीत्
vrd_ramayana_anvaya_1_1_7	बहवो दुर्लभाश्चैव ये त्वया कीर्तिता गुणाः मुने वक्ष्याम्यहं बुद्ध्वा तैर्युक्तश्श्रूयतान्नरः	मुने बहवः दुर्लभाः च एव ये गुणाः त्वया कीर्तिताः तैः युक्तः नरः श्रूयताम् अहम् बुद्ध्वा वक्ष्यामि
vrd_ramayana_anvaya_1_1_8	इक्ष्वाकुवंशप्रभवो रामो नाम जनैश्श्रुतः नियतात्मा महावीर्यो द्युतिमान्धृतिमान् वशी	इक्ष्वाकुवंशप्रभवः रामः नाम जनैः श्रुतः नियतात्मा महावीर्यः द्युतिमान् धृतिमान् वशी
vrd_ramayana_anvaya_1_1_9	बुद्धिमान्नीतिमान्वाग्मी श्रीमान् शत्रुनिबर्हणः विपुलांसो महाबाहुः कम्बुग्रीवो महाहनुः	बुद्धिमान् नीतिमान् वाग्मी श्रीमान् शत्रुनिबर्हणः विपुलांसः महाबाहुः कम्बुग्रीवः महाहनुः
vrd_ramayana_anvaya_1_1_10	महोरस्को महेष्वासो गूढजत्रुररिन्दमः आजानुबाहुस्सुशिरास्सुललाटस्सुविक्रमः	महोरस्कः महेष्वासः गूढजत्रुः अरिन्दमः आजानुबाहुः सुशिराः सुललाटः सुविक्रमः
vrd_ramayana_anvaya_1_1_11	समस्समविभक्ताङ्गस्स्निग्धवर्णः प्रतापवान् पीनवक्षा विशालाक्षो लक्ष्मीवान् शुभलक्षणः	समः समविभक्ताङ्गः स्निग्धवर्णः प्रतापवान् पीनवक्षाः विशालाक्षः लक्ष्मीवान् शुभलक्षणः
